Byte,Hop Count ,Source ,,Destination ,,Type ,TTL Type ,Next Hop ,,Distance ,Battery, Neighbour ,Address 1,,N-Battery,Address 1,,RSSI,Address 1,,N-Battery,Address 1,,N-Battery,Address 1,,N-Battery,Address 1,,N-Battery,Address 1,,N-Battery,Address 1,,N-Battery,Address 1,,N-Battery,Address 1,,N-Battery,Address 1,,N-Battery
40,3,0,2,0,1,2,97,0,3,2,208,9,0,9,255,0,16,255,0,14,248,0,8,252,0,13,253,0,7,253,0,3,252,0,6,252,0,10,252,0,0,0,0,0,0
37,3,0,9,0,1,2,97,0,3,2,208,8,0,14,255,0,8,255,0,12,249,0,13,253,0,7,253,0,3,252,0,6,253,0,2,253,0,0,0,0,0,0,0,0,0
37,3,0,6,0,1,2,97,0,3,2,208,8,0,2,255,0,9,255,0,14,250,0,8,253,0,12,252,0,13,253,0,3,253,0,7,253,0,0,0,0,0,0,0,0,0
46,3,0,8,0,1,2,98,0,3,1,205,11,0,15,255,0,12,255,0,13,249,0,3,252,0,7,253,0,6,252,0,1,253,0,2,252,0,9,252,0,14,253,0,5,253
43,3,0,12,0,1,2,98,0,3,1,206,10,0,13,255,0,3,255,0,7,250,0,6,252,0,1,252,0,9,252,0,14,253,0,8,253,0,15,253,0,5,253,0,0,0
22,3,0,11,0,1,2,98,0,3,1,206,3,0,1,255,0,4,255,0,15,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,3,0,1,0,1,2,100,0,3,0,255,10,0,14,255,0,4,255,0,15,249,0,12,253,0,13,253,0,5,252,0,11,252,0,3,253,0,7,252,0,8,252,0,0,0
19,3,0,10,0,1,2,96,0,3,3,206,2,0,2,255,0,16,255]],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,3,0,14,0,1,2,98,0,3,1,203,11,0,8,255,0,15,255,0,12,249,0,13,253,0,5,253,0,3,252,0,6,253,0,7,252,0,1,253,0,2,253,0,9,253
43,3,0,12,0,1,2,98,0,3,1,203,10,0,13,255,0,5,255,0,3,248,0,6,253,0,7,252,0,1,253,0,9,253,0,14,252,0,8,253,0,15,252,0,0,0
40,3,0,2,0,1,2,97,0,3,2,203,9,0,9,255,0,16,255,0,14,249,0,8,252,0,13,252,0,7,252,0,3,253,0,6,252,0,10,252,0,0,0,0,0,0
43,3,0,1,0,1,2,100,0,3,0,255,10,0,14,255,0,4,255,0,8,249,0,15,253,0,12,252,0,13,252,0,11,253,0,3,252,0,7,252,0,5,252,0,0,0
19,3,0,10,0,1,2,96,0,3,3,203,2,0,2,255,0,16,255]],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,3,0,13,0,1,2,98,0,3,1,201,11,0,7,255,0,6,255,0,3,250,0,1,252,0,16,252,0,9,252,0,2,253,0,14,252,0,15,252,0,8,252,0,12,253
34,3,0,5,0,1,2,98,0,3,1,201,7,0,3,255,0,1,255,0,14,249,0,4,253,0,15,253,0,8,252,0,12,253,0,0,0,0,0,0,0,0,0,0,0,0
22,3,0,11,0,1,2,98,0,3,1,201,3,0,1,255,0,4,255,0,15,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,3,0,16,0,1,2,97,0,3,2,201,4,0,2,255,0,13,255,0,7,249,0,10,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,3,0,2,0,1,2,97,0,3,2,201,9,0,14,255,0,8,255,0,13,248,0,7,253,0,3,252,0,6,253,0,10,253,0,16,253,0,9,252,0,0,0,0,0,0
37,3,0,6,0,1,2,97,0,3,2,201,8,0,2,255,0,9,255,0,14,248,0,8,252,0,12,252,0,13,252,0,7,253,0,3,253,0,0,0,0,0,0,0,0,0
43,3,0,15,0,1,2,98,0,3,1,198,10,0,8,255,0,12,255,0,13,250,0,5,252,0,7,252,0,11,252,0,3,253,0,1,252,0,4,253,0,14,253,0,0,0
43,4,0,15,0,1,2,98,0,4,1,195,10,0,8,255,0,13,255,0,12,249,0,11,252,0,7,252,0,3,253,0,5,253,0,1,252,0,4,253,0,14,252,0,0,0
46,4,0,7,0,1,2,98,0,4,1,195,11,0,3,255,0,6,255,0,1,250,0,16,252,0,9,252,0,2,252,0,14,253,0,15,253,0,8,252,0,13,252,0,12,252
25,4,0,4,0,1,2,98,0,4,1,193,4,0,15,255,0,11,255,0,5,250,0,1,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,4,0,13,0,1,2,98,0,4,1,193,11,0,3,255,0,7,255,0,6,248,0,1,253,0,2,253,0,16,252,0,9,253,0,14,253,0,15,253,0,8,252,0,12,253
22,4,0,11,0,1,2,98,0,4,1,193,3,0,1,255,0,4,255,0,15,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,4,0,7,0,1,2,98,0,4,1,193,10,0,6,255,0,1,255,0,2,249,0,16,252,0,9,253,0,14,253,0,15,252,0,8,253,0,12,252,0,13,253,0,0,0
43,4,0,3,0,1,2,98,0,4,1,193,10,0,7,255,0,1,255,0,2,248,0,9,252,0,14,253,0,15,253,0,8,253,0,12,252,0,13,252,0,6,252,0,0,0
37,4,0,6,0,1,2,97,0,4,2,193,8,0,2,255,0,9,255,0,14,249,0,8,252,0,12,252,0,13,253,0,7,253,0,3,252,0,0,0,0,0,0,0,0,0
43,4,0,1,0,1,2,100,0,4,0,255,10,0,15,255,0,14,255,0,4,248,0,8,253,0,12,252,0,13,252,0,11,253,0,7,253,0,3,253,0,5,253,0,0,0
43,4,0,12,0,1,2,98,0,4,1,190,10,0,13,255,0,7,255,0,3,248,0,5,253,0,6,252,0,1,252,0,9,253,0,14,252,0,15,252,0,8,253,0,0,0
46,5,0,7,0,1,2,98,0,5,1,190,11,0,3,255,0,6,255,0,1,249,0,2,252,0,16,252,0,9,252,0,14,253,0,15,252,0,8,253,0,12,253,0,13,253
40,5,0,2,0,1,2,97,0,5,2,190,9,0,16,255,0,9,255,0,14,249,0,8,252,0,13,252,0,3,252,0,7,252,0,6,252,0,10,253,0,0,0,0,0,0
37,5,0,6,0,1,2,97,0,5,2,190,8,0,2,255,0,9,255,0,14,249,0,8,253,0,12,252,0,13,253,0,3,252,0,7,253,0,0,0,0,0,0,0,0,0
